word,strong,count,example_book,example_chapter,example_verse
ἀναστήσειν,G450,1,ACT,2,30
ἀναίδειαν,G335,1,LUK,11,8
ἀνεγνωρίσθη,G319,1,ACT,7,13
ἀνεκλίθη,G347,1,LUK,7,36
ἀνεκτοτερον,G414,1,MAR,6,11
ἀνεξερεύνητα,G419,1,ROM,11,33
ἀνεπίληπτοι,G423,1,1TI,5,7
ἀνώγεον,G508,1,LUK,22,12
ἀπαγγέλλουσα,G518,1,JHN,20,18
ἀπαγάγετε,G520,1,MAR,14,44
ἀπαρτί,G534,1,REV,14,13
ἀπατηθεῖσα,G538,1,1TI,2,14
ἀπεδέχθησαν,G588,1,ACT,15,4
ἀπειλῇ,G547,1,ACT,4,17
ἀπεκριθη,G611,1,MAR,3,33
ἀπεσταλμενοῦς,G649,1,ACT,10,21
ἀπεσταλμένα,G649,1,REV,5,6
ἀνθυπατεύοντος,G445,1,ACT,18,12
ἀνοιχθῶσιν,G455,1,MAT,20,33
ἀντικρύ,G481,1,ACT,20,15
ἀντιλήψεις,G484,1,1CO,12,28
ἀντιπέραν,G495,1,LUK,8,26
ἀνωρθώθη,G461,1,LUK,13,13
Φιλήμονα,G5371,1,PHM,1,25
Φίλητος,G5372,1,2TI,2,17
Φύγελλος,G5436,1,2TI,1,15
Χθὲς,G5504,1,JHN,4,52
Χοραζίν,G5523,1,MAT,11,21
Χριστου,G5547,1,2TH,3,12
ἀποκαθιστᾳ,G600,1,MAR,9,12
ἀποκεκύλισται,G617,1,MAR,16,4
ἀποκτενει,G615,1,REV,13,10
ἀποκτείνεσθαι,G615,1,REV,6,11
ἀποκτείνοντες,G615,1,MAR,12,5
ἀνέστρεψεν,G390,1,JHN,2,15
ἀνήγγειλεν,G312,1,JHN,5,15
ἀνήκοντα,G433,1,EPH,5,4
ἀνίλεως,G448,1,JAS,2,13
ἀνὼγεον,G508,1,MAR,14,15
ἀπεστερημένος,G650,1,JAS,5,4
ἀπεστάλκασιν,G649,1,ACT,16,36
ἀπεστάλμαι,G649,1,LUK,4,43
ἀπετάξατο,G657,1,ACT,18,21
ἀποδεκατοῦν,G586,1,HEB,7,5
ἀποδεκατῶ,G586,1,LUK,18,12
ἀποδῴη,G591,1,2TI,4,14
ἀποθνῄσκουσιν,G599,1,1CO,15,22
αἰωνας,G165,1,REV,5,14
αἰωνιόυ,G166,1,1TI,6,19
αἶώνιος,G166,1,1JN,5,20
αἶῶνας,G165,1,ROM,16,27
αὐξανόντα,G837,1,MAR,4,8
Φιλαδελφείᾳ,G5359,1,REV,3,7
Φιλαδέλφειαν,G5359,1,REV,1,11
Φιλιππησίους,G5374,1,PHP,4,23
ἀπολαβεῖν,G618,1,LUK,6,34
ἀπολαμβάνειν,G618,1,3JN,1,8
ἀπολάβῃ,G618,1,LUK,18,30
ἀπολέσουσιν,G622,1,MAR,11,18
ἀπολέσωμεν,G622,1,2JN,1,8
ἀπολήψεσθε,G618,1,COL,3,24
ἀπολύσητε,G630,1,LUK,22,68
ἀπορρίψαντας,G641,1,ACT,27,43
ἀποσκευασάμενοι,G643,1,ACT,21,15
ἀποστέλω,G649,1,ACT,7,34
ἀποτινάξατε,G660,1,LUK,9,5
ἀποφύγοντας,G668,1,2PE,2,18
ἀπροσωπολήπτως,G678,1,1PE,1,17
ἀπωλείαις,G684,1,2PE,2,2
ἀπάγαγε,G520,1,ACT,23,17
ἀπέδοτο,G591,1,HEB,12,16
ἀφοριεῖ,G873,1,MAT,25,32
ἀφίστασο,G868,1,1TI,6,5
ἀφῆκας,G863,1,REV,2,4
ἀπέκρυψεν,G613,1,MAT,25,18
ἀπέλειχον,G621,1,LUK,16,21
ἀπέπεσον,G634,1,ACT,9,18
ἀπέπλυναν,G637,1,LUK,5,2
ἀπέστρεψεν,G654,1,MAT,27,3
ἀπήγαγεν,G520,1,ACT,24,7
ἀπίδω,G872,1,PHP,2,23
ἀπόλοῦνται,G622,1,MAR,2,22
ἀρετῆς,G703,1,2PE,1,3
ἀρνούμεθα,G720,1,2TI,2,12
ἀρτέμονα,G736,1,ACT,27,40
ἀρχαῖον,G744,1,REV,20,2
ἀσεβέσιν,G765,1,1TI,1,9
ἄρραφος,G729,1,JHN,19,23
ἄρρενες,G730,1,ROM,1,27
ἄρτοῦ,G740,1,MAT,16,11
ἅπαντων,G537,1,LUK,21,12
ἀσθενοῦσιν,G770,1,1CO,8,9
ἀσπασόμενοι,G782,1,ACT,25,13
ἀσπόνδους,G786,1,ROM,1,31
ἀστραπτούσαις,G797,1,LUK,24,4
ἀυτο,G846,1,PHP,3,16
ἀυτὸν,G846,1,HEB,12,3
ἀφαιρήσει,G851,1,REV,22,19
ἀφαιρῇ,G851,1,REV,22,19
ἀφηκαμεν,G863,1,LUK,18,28
ἀφησεὶ,G863,1,MAR,11,26
ἀφθαρσιαν,G861,1,TIT,2,7
ἀφιένται,G863,1,JHN,20,23
Ἀγνώστῳ,G57,1,ACT,17,23
Ἀδδὶ,G78,1,LUK,3,28
Ἀκούετέ,G191,1,MAR,7,14
Ἀλεξανδρίνῳ,G222,1,ACT,28,11
Ἀλλ᾽,G235,1,1CO,8,7
ἀψάντων,G681,1,LUK,22,55
ἀὐτοῦ,G846,1,MAT,25,10
ἀῥχιερέων,G749,1,LUK,23,23
ἁμαρτήσομεν,G264,1,ROM,6,15
ἁμάρτη,G264,1,LUK,17,4
ἁρπαγέντα,G726,1,2CO,12,2
ἄγαγωσιν,G71,1,MAR,13,11
ἄκήκοα,G191,1,ACT,9,13
ἄξιους,G514,1,MAT,3,8
ἄρεσασης,G700,1,MAR,6,22
ἄρκτου,G715,1,REV,13,2
Ἀχάζ,G881,1,MAT,1,9
Ἁγὰρ,G28,1,GAL,4,25
Ἁγάρ,G28,1,GAL,4,24
Ἁκελδαμά,G184,1,ACT,1,19
Ἁνανίαν,G367,1,ACT,9,12
ἅπασιν,G537,1,LUK,3,16
ἅπάντες,G537,1,ACT,6,15
ἅς,G3739,1,REV,1,20
ἆμήν,G281,1,ROM,16,27
ἆπέλθητε,G565,1,LUK,17,23
ἆπό,G575,1,ROM,16,27
ἆραί,G142,1,MAR,13,15
ἆρχιερεῖς,G749,1,MAT,26,14
ἆρχιερέως,G749,1,MAT,26,51
ἆφεῖλεν,G851,1,MAT,26,51
Ἀβαδδὼν,G3,1,REV,9,11
ἐβούλεύσατο,G1011,1,ACT,15,37
ἐβόων,G994,1,ACT,21,34
ἐγγιεῖ,G1448,1,JAS,4,8
ἐγενέτο,G1096,1,MAR,2,15
ἐγηγέρται,G1453,1,JHN,7,52
ἐγκαθέτους,G1455,1,LUK,20,20
Ἀμπλίαν,G291,1,ROM,16,8
Ἀμὼν,G300,1,MAT,1,10
Ἀμών,G300,1,MAT,1,10
Ἀπόστρεψόν,G654,1,MAT,26,52
Ἀρεοπαγίτης,G698,1,ACT,17,34
Ἀσὰ,G760,1,MAT,1,8
Ἀσά,G760,1,MAT,1,7
Ἀσύγκριτον,G799,1,ROM,16,14
Ἀττάλειαν,G825,1,ACT,14,25
Ἀχὰζ,G881,1,MAT,1,9
ἐγχρῖσον,G1472,1,REV,3,18
ἐδεσμεῖτο,G1196,1,LUK,8,29
ἐδοκιμασάν,G1381,1,HEB,3,9
ἐδέετο,G1189,1,LUK,8,38
ἐζητοῦμέν,G2212,1,LUK,2,48
ἐθελοθρησκεία,G1479,1,COL,2,23
ἐιμι,G1510,1,REV,1,11
Ἁρμαγεδδών,G717,1,REV,16,16
Ἁρέτα,G702,1,2CO,11,32
Ἄνναν,G452,1,ACT,4,6
Ἄφρον,G878,1,1CO,15,36
Ἅγιου,G40,1,ACT,6,3
Ἅννα,G451,1,LUK,2,36
Ἅννα,G452,1,LUK,3,2
Ἅννας,G452,1,JHN,18,24
ἐαυτὸν,G1438,1,1JN,5,18
ἐκγαμίζων,G1547,1,1CO,7,38
ἐκδιώξουσιν,G1559,1,LUK,11,49
ἐκδόσεται,G1554,1,MAT,21,41
ἐκει,G1563,1,REV,22,5
ἐκειθέν,G1564,1,ACT,16,12
ἐκεφαλαίωσαν,G2775,1,MAR,12,4
ἐκεῖνά,G1565,1,MAR,7,15
ἐκκακήσητε,G1573,1,2TH,3,13
ἐγκαταλείψεις,G1459,1,ACT,2,27
ἐγκατοικῶν,G1460,1,2PE,2,8
ἐγκαίνια,G1456,1,JHN,10,22
ἐγκεκαίνισται,G1457,1,HEB,9,18
ἐγκεντρίσαι,G1461,1,ROM,11,23
ἐγκοπήν,G1464,1,1CO,9,12
ἐγκρῖναι,G1469,1,2CO,10,12
ἐγκόπτω,G1465,1,ACT,24,4
ἐκλελυμένοι,G1590,1,MAT,9,36
ἐκλείπῃ,G1587,1,LUK,22,32
ἐκλίπητε,G1587,1,LUK,16,9
ἐκπλήττεσθαι,G1605,1,MAT,13,54
ἐκπορευομένῃ,G1607,1,REV,19,21
ἐκπέπτωκας,G1601,1,REV,2,5
ἐκπίπτει,G1601,1,1CO,13,8
ἐκπίπτοντες,G1601,1,MAR,13,25
ἐκτεθέντα,G1620,1,ACT,7,21
ἐκτενής,G1618,1,ACT,12,5
Καϊνὰν,G2536,1,LUK,3,37
Καϊνάν,G2536,1,LUK,3,36
ἐιναι,G1511,1,ACT,8,37
ἐκβάλλωσιν,G1544,1,LUK,9,40
ἐκγαμίζονται,G1547,1,MAT,22,30
ἐκγαμίζοντες,G1547,1,MAT,24,38
Σεμεΐ,G4584,1,LUK,3,26
Σμυρναίων,G4668,1,REV,2,8
Σολομῶντα,G4672,1,MAT,1,6
Στωϊκῶν,G4770,1,ACT,17,18
Συγκαλεσάμενος,G4779,1,LUK,9,1
Συμμαρτυροῦμαι,G4828,1,REV,22,18
Συμμιμηταί,G4831,1,PHP,3,17
Συροφοινίσσα,G4949,1,MAR,7,26
Κυρηναίου,G2956,1,LUK,23,26
Κυριοῦ,G2962,1,GAL,6,17
Κυριόυ,G2962,1,1TI,1,1
Κυρίοῦ,G2962,1,2TI,2,14
ἐκχέατε,G1632,1,REV,16,1
ἐκκακῶμεν,G1573,1,GAL,6,9
ἐκκλίνατε,G1578,1,ROM,16,17
ἐκκόπτεσθαι,G1581,1,1PE,3,7
ἐμέμψαντο,G3201,1,MAR,7,2
Καίσαρός,G2541,1,ACT,25,10
Κεδρὼν,G2748,1,JHN,18,1
Κλαύδην,G2802,1,ACT,27,16
Κολασσαεῖς,G2858,1,COL,4,18
Κολασσαῖς,G2857,1,COL,1,2
Κορνηλίῳ,G2883,1,ACT,10,7
Κορίνθου,G2882,1,ROM,16,27
Κρητῶν,G2912,1,TIT,3,15
Χριστού,G5547,1,2TI,2,19
Χωραζίν,G5523,1,LUK,10,13
α,G3739,1,2TI,2,7
αγαλλιασθῆναι,G21,1,JHN,5,35
αγρω,G68,1,LUK,17,36
αδικήσωσιν,G91,1,REV,9,4
Σελεύκειαν,G4581,1,ACT,13,4
ἐνέγκαντες,G5342,1,LUK,15,23
ἐκάλεσαν,G2564,1,MAT,10,25
ἐλεεῖτε,G1653,1,JUD,1,22
ἐλεοῦντος,G1653,1,ROM,9,16
ἐλισσαίου,G1666,1,LUK,4,27
ἐλλόγει,G1677,1,PHM,1,18
ἐλογίζοντο,G3049,1,MAR,11,31
ἐλυπηθη,G3076,1,MAT,14,9
ἐμαθήτευσεν,G3100,1,MAT,27,57
ἐμασσῶντο,G3145,1,REV,16,10
ἐμβλέποντες,G1689,1,ACT,1,11
ἐμβάντος,G1684,1,MAR,5,18
ἐμβάντων,G1684,1,MAT,14,32
ἐμπεριπατήσω,G1704,1,2CO,6,16
ἐμπεσεῖται,G1706,1,LUK,14,5
ἐμπορευσώμεθα,G1710,1,JAS,4,13
ἐξολοθρευθήσεται,G1842,1,ACT,3,23
ἐξομολογήσομαι,G1843,1,REV,3,5
ἐξουδενώθη,G1847,1,MAR,9,12
ἐνδειξασθε,G1731,1,2CO,8,24
ἐνδόμησις,G1739,1,REV,21,18
ἐνδύουσιν,G1746,1,MAR,15,17
ἐνεβριμησατο,G1690,1,MAT,9,30
ἐνεδυναμώθησαν,G1743,1,HEB,11,34
ἐνεχθῆναι,G5342,1,MAR,6,27
ἐνθυμουμένου,G1760,1,ACT,10,19
ἐννενηκονταεννέα,G1768,1,MAT,18,13
ἐννεοί,G1769,1,ACT,9,7
ἐννάτῃ,G1766,1,MAR,15,34
ἐνοικοῦν,G1774,1,ROM,8,11
ἐντολαί,G1785,1,1CO,14,37
ἐνυπνία,G1798,1,ACT,2,17
ἐπειράσω,G3985,1,REV,2,2
ἐπερωτᾷς,G1905,1,JHN,18,21
ἐπερώτησον,G1905,1,JHN,18,21
ἐπετίθουν,G2007,1,ACT,8,17
ἐξαρεῖτε,G1808,1,1CO,5,13
ἐξαρθῇ,G1808,1,1CO,5,2
ἐξαὐτῆς,G1824,1,MAR,6,25
ἐξεγαμίζοντο,G1547,1,LUK,17,27
ἐξεθαμβήθη,G1568,1,MAR,9,15
ἐξειλόμην,G1807,1,ACT,23,27
ἐξεκρέματο,G1582,1,LUK,19,48
ἐξελήλυθα,G1831,1,MAR,1,38
ἐξεχεῖτο,G1632,1,ACT,22,20
ἐξηλθεν,G1831,1,LUK,6,12
ἐξηρεύνησαν,G1830,1,1PE,1,10
ἐξιστῶν,G1839,1,ACT,8,9
ἐπιμείνωσιν,G1961,1,ROM,11,23
ἐπιμείνῃς,G1961,1,ROM,11,22
ἐπιπεσὼν,G1968,1,JHN,13,25
ἐπιρράπτει,G1976,1,MAR,2,21
ἐπιστραφῶσιν,G1994,1,JHN,12,40
ἐξἐλέγξαι,G1827,1,JUD,1,15
ἐξέπεσον,G1601,1,ACT,12,7
ἐξέρχεσθαι,G1831,1,ACT,19,12
ἐπαινέσατε,G1867,1,ROM,15,11
ἐπαναμιμνῄσκων,G1878,1,ROM,15,15
ἐπαναπαύσεται,G1879,1,LUK,10,6
ἐπανάγων,G1877,1,MAT,21,18
ἐπαρχίας,G1885,1,ACT,23,34
ἐπαρχίᾳ,G1885,1,ACT,25,1
ἐπεγνωκόσιν,G1921,1,1TI,4,3
ἐπειδή,G1894,1,2CO,5,4
ἐπολέμησαν,G4170,1,REV,12,7
ἐποἰκοδομῆσαι,G2026,1,ACT,20,32
ἐποίησαντὸ,G4160,1,ACT,8,2
ἐπωκοδόμησεν,G2026,1,1CO,3,14
ἐπἠρώτων,G1905,1,ACT,1,6
ἐπέβημεν,G1910,1,ACT,21,6
ἐπείπερ,G1897,1,ROM,3,30
ἐπείρᾶτο,G3987,1,ACT,9,26
ἐπιβλέψον,G1914,1,LUK,9,38
ἐπιβοῶντες,G1916,1,ACT,25,24
ἐπιγνόντων,G1921,1,ACT,19,34
ἐπιγνώσιν,G1922,1,COL,1,10
ἐπιδώσω,G1929,1,JHN,13,26
ἐπικαλέσονται,G1941,1,ROM,10,14
ἐπικατάρατοι,G1944,1,JHN,7,49
ἐπιμενοῦμεν,G1961,1,ROM,6,1
ἐρευνᾶτε,G2045,1,JHN,5,39
ἐρευνᾷ,G2045,1,1CO,2,10
ἐρευνῶντες,G2045,1,1PE,1,11
ἐρεύνησον,G2045,1,JHN,7,52
ἐρραβδίσθην,G4463,1,2CO,11,25
ἐρραντισμένοι,G4472,1,HEB,10,22
ἐπισύστασιν,G1999,1,ACT,24,12
ἐπισύστασις,G1999,1,2CO,11,28
ἐπιτεθῇ,G2007,1,MAR,4,21
ἐπιτελῶ,G2005,1,LUK,13,32
ἐπιτιθῇ,G2007,1,REV,22,18
ἐπιτέτραπται,G2010,1,1CO,14,34
ἐπιφέρειν,G2018,1,PHP,1,16
ἐπιφέρεσθαι,G2018,1,ACT,19,12
ἐπληθύνοντο,G4129,1,ACT,9,31
ἐποιεῖτε,G4160,1,JHN,8,39
ἐρήμον,G2048,1,LUK,4,1
ἐσθήσεσιν,G2067,1,LUK,24,4
ἐσθήτι,G2066,1,ACT,1,10
ἐσθίοντας,G2068,1,MAR,7,2
ἐσκοτισμένοι,G4654,1,EPH,4,18
ἐστάθην,G2476,1,REV,13,1
ἐστήριξεν,G4741,1,LUK,9,51
ἐτεθνήκει,G2348,1,JHN,11,21
ἐτάρασσεν,G5015,1,JHN,5,4
ἐπέδειξεν,G1925,1,LUK,24,40
ἐπέπεσον,G1968,1,ROM,15,3
ἐπέφερον,G2018,1,ACT,25,18
ἐπέχρισεν,G2025,1,JHN,9,6
ἐπίτρεψον,G2010,1,MAT,8,31
ἐπώκειλαν,G2027,1,ACT,27,41
ἐπῆσχύνθη,G1870,1,2TI,1,16
Ποντίῳ,G4194,1,MAT,27,2
Πορεύθητε,G4198,1,MAT,21,2
Προωρώμην,G4308,1,ACT,2,25
Πύθωνος,G4436,1,ACT,16,16
Ρωμαικοῖς,G4513,1,LUK,23,38
ἑκατοντάρχῳ,G1543,1,MAT,8,13
ἑκγαμίζων,G1547,1,1CO,7,38
ἑκάστοις,G1538,1,REV,6,11
ἑρμηνευόμενον,G2059,1,JHN,1,38
ἑστήκεσαν,G2476,1,REV,7,11
ἑστός,G2476,1,MAR,13,14
ἐρράπισαν,G4474,1,MAT,26,67
ἐρρήθησαν,G4483,1,GAL,3,16
ἐρρύσθην,G4506,1,2TI,4,17
ἐρχομενην,G2064,1,ACT,18,21
ἐρχόμενου,G2064,1,LUK,23,26
ἐφαλλόμενος,G2177,1,ACT,19,16
ἐφίσταται,G2186,1,1TH,5,3
ἐφύλαξαμην,G5442,1,LUK,18,21
ἐάσατε,G1439,1,ACT,5,38
ἐᾷς,G1439,1,REV,2,20
ἑαυτὸ,G1438,1,REV,4,8
ἑβδομήκονταέξ,G1440,1,ACT,27,37
ἑκατοντάρχους,G1543,1,ACT,21,32
Σίλᾳ,G4609,1,ACT,15,34
Ταλιθα,G5008,1,MAR,5,41
Τολμηταί,G5113,1,2PE,2,10
Τρέμων,G5141,1,ACT,9,6
Τυχικοῦ,G5190,1,EPH,6,24
Παῦλου,G3972,1,ACT,25,7
Περίζῶσαι,G4024,1,ACT,12,8
Πισιδίας,G4099,1,ACT,13,14
Ἑβραικοῖς,G1444,1,LUK,23,38
ἑστώς,G2476,1,ACT,25,10
ἑστῶσαι,G2476,1,REV,11,4
ἑταίροις,G2083,1,MAT,11,16
ἑώρακασιν,G3708,1,LUK,9,36
ἔγειρου,G1453,1,LUK,8,54
ἔδυ,G1416,1,MAR,1,32
ἔθήλασαν,G2337,1,LUK,23,29
ἔκραξα,G2896,1,ACT,24,21
ἔκραύγασεν,G2905,1,MAT,15,22
ἔλεγχον,G1650,1,2TI,3,16
ἔνεδρον,G1749,1,ACT,23,16
ἔννυχον,G1773,1,MAR,1,35
ἔντεῦθεν,G1782,1,MAT,17,20
ἔρριψαμεν,G4496,1,ACT,27,19
ἐυχάριστῶ,G2168,1,ROM,7,25
ἠγίασμένοις,G37,1,JUD,1,1
ἠδυνήθη,G1410,1,MAR,7,24
ἠδίκησα,G91,1,ACT,25,10
ἔρριψαν,G4496,1,MAT,15,30
ἔστε,G2075,1,EPH,5,5
ἔσχατη,G2078,1,MAR,12,22
ἔχῆτε,G2192,1,2CO,1,15
ἔχῶμεν,G2192,1,1JN,2,28
Ἐι,G1487,1,LUK,14,3
Ἐλαμῖται,G1639,1,ACT,2,9
Ἐλμωδὰμ,G1678,1,LUK,3,28
Ἐπει,G1893,1,LUK,7,1
Ἐπικουρείων,G1946,1,ACT,17,18
Ἐπῆλθον,G1904,1,ACT,14,19
Ἐυνείκῃ,G2131,1,2TI,1,5
Ἐφέσίνης,G2179,1,REV,2,1
ἠτίμωμένον,G821,1,MAR,12,4
ἠυδόκησα,G2106,1,LUK,3,22
ἠχούσης,G2278,1,LUK,21,25
ἠχρειώθησαν,G889,1,ROM,3,12
ἡλκωμένος,G1669,1,LUK,16,20
Ἑζεκίαν,G1478,1,MAT,1,9
Ἑζεκίας,G1478,1,MAT,1,10
Ἑλληνικοῖς,G1673,1,LUK,23,38
Ἑμμὸρ,G1697,1,ACT,7,16
Ἑσλὶ,G2069,1,LUK,3,25
Ἑσρώμ,G2074,1,MAT,1,3
Ἔρρωσο,G4517,1,ACT,23,30
Ἕνεκά,G1752,1,ROM,8,36
ἠβουλήθην,G1014,1,2JN,1,12
ἠγαπηκόσιν,G25,1,2TI,4,8
ἠγαπήσαμεν,G25,1,1JN,4,10
ἥλλετο,G242,1,ACT,14,10
ἥξωσιν,G2240,1,REV,3,9
ἥξῃ,G2240,1,LUK,13,35
ἦγαγεν,G71,1,ACT,5,26
ἧκον,G2240,1,ACT,28,23
ἠδύνασθε,G1410,1,1CO,3,2
ἠλθεν,G2064,1,MAT,21,19
ἠλθες,G2064,1,MAT,8,29
ἠν,G2258,1,MAT,1,18
ἠνεσχόμην,G430,1,ACT,18,14
ἠνείχεσθε,G430,1,2CO,11,4
ἠνεῳχθη,G455,1,REV,20,12
ἠνεῳχθησαν,G455,1,REV,20,12
ἠρωτᾷ,G2065,1,LUK,11,37
ἠσθενήσαμεν,G770,1,2CO,11,21
ἠτοῦντο,G154,1,MAR,15,6
Κανανίτην,G2581,1,MAR,3,18
Κανανίτης,G2581,1,MAT,10,4
Καταβάντι,G2597,1,MAT,8,1
Κατ᾽,G2596,1,ACT,12,1
Ἠλὶ,G2242,1,LUK,3,23
ἡμέραῖς,G2250,1,MAR,2,20
ἡμίση,G2255,1,LUK,19,8
ἡτοίμασα,G2090,1,MAT,22,4
ἡττήθητε,G2274,1,2CO,12,13
ἣς,G3739,1,MAR,13,19
ἤθελησαν,G2309,1,MAR,9,13
ἤθελησεν,G2309,1,LUK,18,4
ἤλθετε,G2064,1,MAT,25,36
ἤλθον,G2064,1,ACT,21,8
ἤπτοντο,G680,1,MAR,6,56
ἥκασιν,G2240,1,MAR,8,3
Νεεμὰν,G3497,1,LUK,4,27
Νεάπολιν,G3496,1,ACT,16,11
Νηρὶ,G3518,1,LUK,3,27
Νικοπόλεως,G3533,1,TIT,3,15
Νινευίταις,G3536,1,LUK,11,30
ἰαθἐντος,G2390,1,ACT,3,11
ἰατρούς,G2395,1,LUK,8,43
ἰδέα,G2397,1,MAT,28,3
ἰὰσασθαι,G2390,1,LUK,4,18
ἧν,G2258,1,GAL,4,15
Εὐροκλύδων,G2148,1,ACT,27,14
Εὕα,G2096,1,1TI,2,13
Ζάρα,G2196,1,MAT,1,3
Ηλι,G2241,1,MAT,27,46
Θαμάρ,G2283,1,MAT,1,3
Κακεῖθεν,G2547,1,MAR,10,1
Ἰσαχάρ,G2466,1,REV,7,7
Ἰσκαριώτη,G2469,1,JHN,13,26
Ἡροδίωνα,G2267,1,ROM,16,11
Ἡρώδης,G2264,1,ACT,12,20
Ἡρῳδιὰς,G2266,1,MAR,6,19
Ἦ,G2229,1,HEB,6,14
Σαμαρείᾳ,G4540,1,ACT,1,8
Σαμάρεια,G4540,1,ACT,8,14
Σαμάρειαν,G4540,1,ACT,15,3
Σαρούχ,G4562,1,LUK,3,35
Σαρῶναν,G4565,1,ACT,9,35
Σατᾶν,G4566,1,2CO,12,7
Μωσῃ,G3475,1,JHN,9,29
Μάαθ,G3092,1,LUK,3,26
Μήποτε,G3379,1,MAT,25,9
Ναθὰν,G3481,1,LUK,3,31
Ἰωὰννα,G2490,1,LUK,3,27
Ἱεροσολυμιτῶν,G2415,1,JHN,7,25
Ἱεροσολυμῖται,G2415,1,MAR,1,5
Ἱνατί,G2444,1,ACT,4,25
Ἴδοὺ,G2400,1,MAR,13,21
ἱερωσυνής,G2420,1,HEB,7,14
ἱμειρόμενοι,G2442,1,1TH,2,8
ἱμάτίῳ,G2440,1,MAR,2,21
ἱστῶμεν,G2476,1,ROM,3,31
ἴσασιν,G2467,1,ACT,26,4
ἵστησιν,G2476,1,MAT,4,5
Ἰαννὰ,G2388,1,LUK,3,24
Ἰαρέδ,G2391,1,LUK,3,37
Ἰεζάβηλ,G2403,1,REV,2,20
Ἰερεμίαν,G2408,1,MAT,16,14
Ἰουδὰ,G2455,1,LUK,3,26
ὀρθριαὶ,G3721,1,LUK,24,22
ὀρθρινός,G3720,1,REV,22,16
ὀρκίζω,G3726,1,1TH,5,27
ὀφειλομένην,G3784,1,1CO,7,3
ὀφθαλμοδουλείαις,G3787,1,COL,3,22
ὀφθαλμοδουλείαν,G3787,1,EPH,6,6
ὀχλούμενοι,G3791,1,LUK,6,18
ὁδε,G3592,1,LUK,16,25
ὁδήγησῃ,G3594,1,ACT,8,31
ὁμοιάζει,G3662,1,MAR,14,70
Ἰσραηλῖταί,G2475,1,2CO,11,22
Ἰωνὰν,G2494,1,LUK,3,30
Ἰωσὴ,G2499,1,LUK,3,29
Ἰωσὴ,G2500,1,MAT,27,56
Ἰωσίαν,G2502,1,MAT,1,10
Ἰωσίας,G2502,1,MAT,1,11
ὄνοματα,G3686,1,REV,13,8
ὄνος,G3688,1,LUK,14,5
ὄχλῷ,G3793,1,MAT,15,36
ὅμιλος,G3658,1,REV,18,17
ὅνπερ,G3746,1,MAR,15,6
ὅποτε,G3698,1,LUK,6,3
ὅσας,G3745,1,MAR,3,28
ὅτί,G3754,1,MAT,7,14
Ὀζίαν,G3604,1,MAT,1,8
Ὀζίας,G3604,1,MAT,1,9
Ἶδοὺ,G2400,1,LUK,17,23
ὀγδοηκοντατεσσάρων,G3589,1,LUK,2,37
ὀκνήσαι,G3635,1,ACT,9,38
ὀνειδιζόμεθα,G3679,1,1TI,4,10
ὀνοματί,G3686,1,ROM,15,9
ὀνόμα,G3686,1,REV,13,1
Γολγοθα,G1115,1,JHN,19,17
Γομόρροις,G1116,1,MAR,6,11
Διοτρέφης,G1361,1,3JN,1,9
Ελωι,G1682,1,MAR,15,34
Εφφαθα,G2188,1,MAR,7,34
ὑπομένοντας,G5278,1,JAS,5,11
ὑποστρέψας,G5290,1,MAR,14,40
ὑπέμενον,G5278,1,ACT,17,14
ὑπὸκρίσιν,G5272,1,JAS,5,12
ὑπῇρχεν,G5225,1,ACT,4,34
ὑστερουντι,G5302,1,1CO,12,24
ὁποῖοί,G3697,1,GAL,2,6
ὃσα,G3745,1,JHN,21,25
ὃσοι,G3745,1,MAR,6,11
ὃτι,G3754,1,LUK,21,8
ὃυς,G3739,1,MAT,12,4
Εἰπε,G2036,1,LUK,20,2
ᾅδη,G86,1,1CO,15,55
Ῥεμφὰν,G4481,1,ACT,7,43
ᾅδῃ,G86,1,LUK,16,23
ᾠκοδομήθη,G3618,1,JHN,2,20
ᾦ,G3739,1,JHN,4,50
Αἰγύπτοῦ,G125,1,ACT,7,36
ῥαπίσει,G4474,1,MAT,5,39
ῥυπωσάτω,G4510,1,REV,22,11
ῥυπῶν,G4510,1,REV,22,11
έδωκας,G1325,1,REV,16,6
έρχωμαι,G2064,1,JHN,4,15
έτι,G2089,1,REV,10,6
Ῥαγαὺ,G4466,1,LUK,3,35
Γαλάτας,G1052,1,GAL,6,18
Ὁρκίζομεν,G3726,1,ACT,19,13
ῥάβδους,G4464,1,LUK,9,3
ῥύεται,G4506,1,2CO,1,10
ῥῖψαν,G4496,1,LUK,4,35
Ῥαββονί,G4462,1,MAR,10,51
Ῥαββουνι,G4462,1,JHN,20,16
Μωσέα,G3475,1,LUK,16,29
ὠκοδόμησεν,G3618,1,ACT,7,47
ὡμοσεν,G3660,1,ACT,7,17
ὡσει,G5616,1,REV,1,14
ὡστε,G5620,1,LUK,9,52
ὣ,G3739,1,ACT,13,41
ὦν,G3739,1,REV,1,20
ὦτίον,G5621,1,MAT,26,51
ὧ,G3739,1,MAR,2,4
Ὠβήδ,G5601,1,LUK,3,32
Εφέσιους,G2180,1,EPH,6,24
