original,resolved_form,phrase_type,function,confidence,method,count,strong,morph
πανταχόθεν,,AdvP,Cmpl,0.85,morph_inference,1,G3836,ADV
παρέξει,,,Pred,0.85,morph_inference,1,G3930,V-FAI-3S
παρίστησιν,,,Pred,0.85,morph_inference,1,G3936,V-PAI-3S
παρῆγεν,,,Pred,0.85,morph_inference,1,G3855,V-IAI-3S
πατραλῴαις,,NP,,0.85,morph_inference,1,G3964,N-DPM
πατάσσῃ,,,Pred,0.85,morph_inference,1,G3960,V-AAS-3S
πατὲρα,,NP,,0.85,morph_inference,1,G3962,N-ASM
πεισθέντες,,,Pred,0.85,morph_inference,1,G3982,V-APP-NPM
παραβάλωμεν,,,Pred,0.85,morph_inference,1,G3846,V-2AAS-1P
παραδεδωκόσιν,,,Pred,0.85,morph_inference,1,G3860,V-RAP-DPM
παραδειγματίσαι,,,Pred,0.85,morph_inference,1,G3856,V-AAN
παραδείσου,,NP,,0.85,morph_inference,1,G3857,N-GSM
παραδιατριβαὶ,,NP,,0.85,morph_inference,1,G3859,N-NPF
παραδιδῶσιν,,,Pred,0.85,morph_inference,1,G3860,V-PAS-3P
παραθήσομαι,,,Pred,0.85,morph_inference,1,G3908,V-FDI-1S
παρακαθίσασα,,,Pred,0.85,morph_inference,1,G3869,V-AAP-NSF
παραληφθησεται,,,Pred,0.85,morph_inference,1,G3880,V-FPI-3S
περιπεπατήκει,,,Pred,0.85,morph_inference,1,G4043,V-LAI-3S
περιρρήξαντες,,,Pred,0.85,morph_inference,1,G4048,V-AAP-NPM
περισσεύουσιν,,,Pred,0.85,morph_inference,1,G4052,V-PAI-3P
περιφερόμεναι,,,Pred,0.85,morph_inference,1,G4064,V-PPP-NPF
περιφέρεσθε,,,Pred,0.85,morph_inference,1,G4064,V-PPM-2P
περιέχουσαν,,,Pred,0.85,morph_inference,1,G4023,V-PAP-ASF
περίλυπον,,AdjP,,0.75,morph_inference,1,G4036,A-ASM
πετωμένοις,,,Pred,0.85,morph_inference,1,G4072,V-PDP-DPN
παρεισέδυσαν,,,Pred,0.85,morph_inference,1,G3921,V-AAI-3P
παρελθέτω,,,Pred,0.85,morph_inference,1,G3928,V-2AAM-3S
παρενεγκεῖν,,,Pred,0.85,morph_inference,1,G3911,V-2AAN
παρεστηκόσιν,,,Pred,0.85,morph_inference,1,G3936,V-RAP-DPM
παρετηροῦν,,,Pred,0.85,morph_inference,1,G3906,V-IAI-3P
παρεῖχον,,,Pred,0.85,morph_inference,1,G3930,V-IAI-3P
παρηκολούθηκάς,,,Pred,0.85,morph_inference,1,G3877,V-RAI-2S
παροξυσμὸς,,NP,,0.85,morph_inference,1,G3948,N-NSM
πλεονεξίαις,,NP,,0.85,morph_inference,1,G4124,N-DPF
πλεῖονα,,AdjP,,0.75,morph_inference,1,G4119,A-APN
πληθυναῖ,,,Pred,0.85,morph_inference,1,G4129,V-AAO-3S
πλημμύρας,,NP,,0.85,morph_inference,1,G4132,N-GSF
πληρεις,,AdjP,,0.75,morph_inference,1,G4134,A-APM
πληροῦται,,,Pred,0.85,morph_inference,1,G4137,V-PPI-3S
πληρωσονται,,,Pred,0.85,morph_inference,1,G4137,V-FDI-3P
πλήσαντες,,,Pred,0.85,morph_inference,1,G4130,V-AAP-NPM
πεντηκοντατριῶν,,AdjP,,0.75,morph_inference,1,G4004,A-GPM
πεπειραμένον,,,Pred,0.85,morph_inference,1,G3987,V-RPP-ASM
πεπυρωμένοι,,,Pred,0.85,morph_inference,1,G4448,V-RPP-NPM
πεπώρωκεν,,,Pred,0.85,morph_inference,1,G4456,V-RAI-3S
περιβαλοῦσιν,,,Pred,0.85,morph_inference,1,G4016,V-FAI-3P
περιδραμόντες,,,Pred,0.85,morph_inference,1,G4063,V-2AAP-NPM
περιπατήσαντες,,,Pred,0.85,morph_inference,1,G4043,V-AAP-NPM
περιπατήσει,,,Pred,0.85,morph_inference,1,G4043,V-FAI-3S
πορρωτέρω,,AdvP,Cmpl,0.85,morph_inference,1,G4208,ADV
πορφύρᾳ,,NP,,0.85,morph_inference,1,G4209,N-DSF
ποτὴριον,,NP,,0.85,morph_inference,1,G4221,N-NSN
ποὶα,,NP,,0.8,morph_inference,1,G4169,INT-DSF
προαιρεῖται,,,Pred,0.85,morph_inference,1,G4255,V-PDI-3S
προεβίβασαν,,,Pred,0.85,morph_inference,1,G4264,V-AAI-3P
προειρηκέναι,,,Pred,0.85,morph_inference,1,G4280,V-RAN
προεφητεύσαμεν,,,Pred,0.85,morph_inference,1,G4395,V-AAI-1P
προεφήτευον,,,Pred,0.85,morph_inference,1,G4395,V-IAI-3P
πετωμένου,,,Pred,0.85,morph_inference,1,G4072,V-PDP-GSM
πετωμένῳ,,,Pred,0.85,morph_inference,1,G4072,V-PDP-DSM
πετώμενον,,,Pred,0.85,morph_inference,1,G4072,V-PDP-ASM
πιστευσόντων,,,Pred,0.85,morph_inference,1,G4100,V-FAP-GPM
πιστεύσατε,,,Pred,0.85,morph_inference,1,G4100,V-AAM-2P
πλανώμενα,,,Pred,0.85,morph_inference,1,G4105,V-PPP-NPN
πλανᾶσθαι,,,Pred,0.85,morph_inference,1,G4105,V-PPN
προσαναλώσασα,,,Pred,0.85,morph_inference,1,G4321,V-AAP-NSF
προσεγγίσαι,,,Pred,0.85,morph_inference,1,G4331,V-AAN
προσεδρεύοντες,,,Pred,0.85,morph_inference,1,G4332,V-PAP-NPM
προσειργάσατο,,,Pred,0.85,morph_inference,1,G4333,V-ADI-3S
προσεκολλήθη,,,Pred,0.85,morph_inference,1,G4347,V-API-3S
προσεποιεῖτο,,,Pred,0.85,morph_inference,1,G4364,V-IMI-3S
προσευχή,,NP,,0.85,morph_inference,1,G4335,N-NSF
προσεύχομενοι,,,Pred,0.85,morph_inference,1,G4336,V-PDP-NPM
προσηυξάμεθα,,,Pred,0.85,morph_inference,1,G4336,V-ADI-1P
ποιησόμεν,,,Pred,0.85,morph_inference,1,G4160,V-FAI-1P
ποιήσαι,,,Pred,0.85,morph_inference,1,G4160,V-AAN
ποιήσειαν,,,Pred,0.85,morph_inference,1,G4160,V-AAO-3P
πολυ,,AdjP,,0.75,morph_inference,1,G4183,A-NSN
πορευθέντα,,,Pred,0.85,morph_inference,1,G4198,V-ADP-ASM
πορευομέναι,,,Pred,0.85,morph_inference,1,G4198,V-PDP-NPF
πορευσώμεθα,,,Pred,0.85,morph_inference,1,G4198,V-ADS-1P
βαπτίστου,,NP,,0.85,morph_inference,1,G910,N-GSM
βαπτίσωνται,,,Pred,0.85,morph_inference,1,G907,V-AMS-3P
βαρυνθῶσιν,,,Pred,0.85,morph_inference,1,G925,V-APS-3P
βασανισθῶσιν,,,Pred,0.85,morph_inference,1,G928,V-APS-3P
βασιλεύσομεν,,,Pred,0.85,morph_inference,1,G936,V-FAI-1P
προσώπον,,NP,,0.85,morph_inference,1,G4383,N-ASN
προσῆλθόν,,,Pred,0.85,morph_inference,1,G4334,V-AAI-3P
προτεταγμένους,,,Pred,0.85,morph_inference,1,G4384,V-RPP-APM
προέτεινεν,,,Pred,0.85,morph_inference,1,G4385,V-AAI-3S
πρωίᾳ,,NP,,0.85,morph_inference,1,G4405,N-NSF
προεφήτευσαν,,,Pred,0.85,morph_inference,1,G4395,V-AAI-3P
προκατηγγελμένην,,,Pred,0.85,morph_inference,1,G4293,V-RPP-ASF
προκατήγγειλαν,,,Pred,0.85,morph_inference,1,G4293,V-AAI-3P
προκεκηρυγμένον,,,Pred,0.85,morph_inference,1,G4296,V-RPP-ASM
προληφθῇ,,,Pred,0.85,morph_inference,1,G4301,V-APS-3S
προνοοῦμενοι,,,Pred,0.85,morph_inference,1,G4306,V-PMP-NPM
προσλαβεῖν,,,Pred,0.85,morph_inference,1,G4355,V-2AAN
προσφέρωσιν,,,Pred,0.85,morph_inference,1,G4374,V-PAS-3P
προσωποληπτεῖτε,,,Pred,0.85,morph_inference,1,G4380,V-PAI-2P
προσωποληψίαις,,NP,,0.85,morph_inference,1,G4382,N-DPF
προσωπολήπτης,,NP,,0.85,morph_inference,1,G4381,N-NSM
προσέπεσον,,,Pred,0.85,morph_inference,1,G4363,V-2AAI-3P
προσέπιπτεν,,,Pred,0.85,morph_inference,1,G4363,V-IAI-3S
βουλή,,NP,,0.85,morph_inference,1,G1012,N-NSF
βάλειν,,,Pred,0.85,morph_inference,1,G906,V-2AAN
βέβληκεν,,,Pred,0.85,morph_inference,1,G906,V-RAI-3S
βύσσου,,NP,,0.85,morph_inference,1,G1040,N-GSF
γαμηθῆ,,,Pred,0.85,morph_inference,1,G1060,V-APS-3S
βαθέος,,AdjP,,0.75,morph_inference,1,G901,A-GSM
βαλαντίου,,NP,,0.85,morph_inference,1,G905,N-GSN
βαλάντια,,NP,,0.85,morph_inference,1,G905,N-APN
βαλόντων,,,Pred,0.85,morph_inference,1,G906,V-2AAP-GPM
πάσαν,,NP,,0.9,strong_phrase_map,1,G3956,A-ASF
πράττειν,,,Pred,0.85,morph_inference,1,G4238,V-PAN
πράττουσιν,,,Pred,0.85,morph_inference,1,G4238,V-PAI-3P
πρὸσλαβοῦ,,,Pred,0.85,morph_inference,1,G4355,V-2AMM-2S
πρόσληψις,,NP,,0.85,morph_inference,1,G4356,N-NSF
πρώρας,,NP,,0.85,morph_inference,1,G4408,N-GSF
πρώτον,,AdvP,Cmpl,0.85,morph_inference,1,G4412,ADV
πρώϊμον,,AdjP,,0.75,morph_inference,1,G4406,A-ASM
πρᾳέος,,AdjP,,0.75,morph_inference,1,G4239,A-GSN
πρᾳότης,,NP,,0.85,morph_inference,1,G4236,N-NSF
πρᾶότητι,,NP,,0.85,morph_inference,1,G4236,N-DSF
πρᾷός,,NP,,0.85,morph_inference,1,G4235,N-NSM
πταίσει,,,Pred,0.85,morph_inference,1,G4417,V-FAI-3S
Κίς,,NP,,0.85,capital_name,1,G2797,IND
προσκυνοῦσιν,,,Pred,0.85,morph_inference,1,G4352,V-PAI-3P
προσκυνήσαντες,,,Pred,0.85,morph_inference,1,G4352,V-AAP-NPM
σείω,,,Pred,0.85,morph_inference,1,G4579,V-PAI-1S
σηρικοῦ,,AdjP,,0.75,morph_inference,1,G4596,A-GSN
σθενώσαι,,,Pred,0.85,morph_inference,1,G4599,V-AAO-3S
σκηνή,,NP,,0.85,morph_inference,1,G4633,N-NSF
σκότῳ,,NP,,0.85,morph_inference,1,G4655,N-DSM
σοφῶ,,AdjP,,0.75,morph_inference,1,G4680,A-DSM
Κῶν,,NP,,0.85,capital_name,1,G2972,N-ASF
Λαοδίκειαν,,NP,,0.85,capital_name,1,G2993,N-ASF
Λεββαῖος,,NP,,0.85,capital_name,1,G3002,N-NSM
Λεγεὼν,,NP,,0.85,capital_name,1,G3003,N-NSM
Λεγεών,,NP,,0.85,capital_name,1,G3003,N-NSM
Λευιτικῆς,,NP,,0.85,capital_name,1,G3020,A-GSF
Λευὶς,,NP,,0.85,capital_name,1,G3018,N-NSM
Λευίτας,,NP,,0.85,capital_name,1,G3019,N-APM
Λουκᾶ,,NP,,0.85,capital_name,1,G3065,N-GSM
πυθέσθαι,,,Pred,0.85,morph_inference,1,G4441,V-2ADN
αὑτη,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-NSF
αὑτῆς,,NP,,0.9,strong_phrase_map,1,G846,P-GSF
συγγενεία,,NP,,0.85,morph_inference,1,G4772,N-DSF
συγγενής,,AdjP,,0.75,morph_inference,1,G4773,A-NSF
συγγνώμην,,NP,,0.85,morph_inference,1,G4774,N-ASF
συγκαθισάντων,,,Pred,0.85,morph_inference,1,G4776,V-AAP-GPM
συγκαθήμενοι,,,Pred,0.85,morph_inference,1,G4775,V-PDP-NPM
πὲρι,,PP,Cmpl,0.9,strong_phrase_map,1,G4012,PREP
πέπωκεν,,,Pred,0.85,morph_inference,1,G4095,V-RAI-3S
πέτραιςμ,,NP,,0.85,morph_inference,1,G4073,N-DPF
πίειν,,,Pred,0.85,morph_inference,1,G4095,V-2AAN
ρμδ᾽,,NP,,0.9,morph_inference,1,G1540,IND
σαρδίνῳ,,NP,,0.85,morph_inference,1,G4555,N-DSM
σαρκίκης,,AdjP,,0.75,morph_inference,1,G4559,A-GSF
σαυτὸν,,NP,,0.85,morph_inference,1,G4572,REF-ASM
σειραῖς,,NP,,0.85,morph_inference,1,G4577,N-DPF
σπείροντος,,,Pred,0.85,morph_inference,1,G4687,V-PAP-GSM
σταυρόν,,NP,,0.85,morph_inference,1,G4716,N-ASM
στοιβάδας,,NP,,0.85,morph_inference,1,G4746,N-APF
στολαὶ,,NP,,0.85,morph_inference,1,G4749,N-NPF
στρατοπεδάρχῃ,,NP,,0.85,morph_inference,1,G4759,N-DSM
στραφείς,,,Pred,0.85,morph_inference,1,G4762,V-2APP-NSM
συ,,NP,,0.85,morph_inference,1,G4771,P-NS
βασιλεῖαι,,NP,,0.85,morph_inference,1,G932,N-NPF
βαστάσασιν,,,Pred,0.85,morph_inference,1,G941,V-AAP-DPM
βατράχοις,,NP,,0.85,morph_inference,1,G944,N-DPM
βαττολογήσητε,,,Pred,0.85,morph_inference,1,G945,V-AAS-2P
βεβαρήμενοι,,,Pred,0.85,morph_inference,1,G916,V-RPP-NPM
αὐξήσαι,,,Pred,0.85,morph_inference,1,G837,V-AAO-3S
αὐτοίς,,NP,,0.9,strong_phrase_map,1,G846,P-DPM
αὐτοῦς,,NP,,0.9,strong_phrase_map,1,G846,P-APM
αὐτή,,NP,,0.9,strong_phrase_map,1,G846,P-DSF
συζητητὴς,,NP,,0.85,morph_inference,1,G4804,N-NSM
συγκαθήμενος,,,Pred,0.85,morph_inference,1,G4775,V-PDP-NSM
συγκακοπάθησον,,,Pred,0.85,morph_inference,1,G4777,V-AAM-2S
συγκακουχεῖσθαι,,,Pred,0.85,morph_inference,1,G4778,V-PDN
συγκαλεῖ,,,Pred,0.85,morph_inference,1,G4779,V-PAI-3S
συγκαλεῖται,,,Pred,0.85,morph_inference,1,G4779,V-PMI-3S
συγκαλοῦσιν,,,Pred,0.85,morph_inference,1,G4779,V-PAI-3P
συγκαλέσασθαι,,,Pred,0.85,morph_inference,1,G4779,V-AMN
συγκαταβάντες,,,Pred,0.85,morph_inference,1,G4782,V-2AAP-NPM
συγκατατεθειμένος,,,Pred,0.85,morph_inference,1,G4784,V-RDP-NSM
συγκατεψηφίσθη,,,Pred,0.85,morph_inference,1,G4785,V-API-3S
συγκατάθεσις,,NP,,0.85,morph_inference,1,G4783,N-NSF
συγκεκλεισμένοι,,,Pred,0.85,morph_inference,1,G4788,V-RPP-NPM
συγκεκραμένος,,,Pred,0.85,morph_inference,1,G4786,V-RPP-NSM
συγκληρονόμα,,AdjP,,0.75,morph_inference,1,G4789,A-APN
σπεκουλάτωρα,,NP,,0.85,morph_inference,1,G4688,N-ASM
συλλυπούμενος,,,Pred,0.85,morph_inference,1,G4818,V-PDP-NSM
συλλήψῃ,,,Pred,0.85,morph_inference,1,G4815,V-FDI-2S
συμβασιλεύσομεν,,,Pred,0.85,morph_inference,1,G4821,V-FAI-1P
συμβασιλεύσωμεν,,,Pred,0.85,morph_inference,1,G4821,V-AAS-1P
συγκληρονόμων,,AdjP,,0.75,morph_inference,1,G4789,A-GPM
συγκοινωνεῖτε,,,Pred,0.85,morph_inference,1,G4790,V-PAM-2P
συγκοινωνούς,,AdjP,,0.75,morph_inference,1,G4791,A-APM
συγκοινωνήσαντές,,,Pred,0.85,morph_inference,1,G4790,V-AAP-NPM
συγκοινωνήσητε,,,Pred,0.85,morph_inference,1,G4790,V-AAS-2P
συγκρῖναι,,,Pred,0.85,morph_inference,1,G4793,V-AAN
συγκέχυται,,,Pred,0.85,morph_inference,1,G4797,V-RPI-3S
συγκύπτουσα,,,Pred,0.85,morph_inference,1,G4794,V-PAP-NSF
συγχαίρετέ,,,Pred,0.85,morph_inference,1,G4796,V-PAM-2P
συγχαίρω,,,Pred,0.85,morph_inference,1,G4796,V-PAI-1S
συγχρῶνται,,,Pred,0.85,morph_inference,1,G4798,V-PDI-3P
συζητεῖτε,,,,0.9,strong_phrase_map,1,G4802,V-PAI-2P
συμμέτοχα,,AdjP,,0.75,morph_inference,1,G4830,A-APN
συμμέτοχοι,,AdjP,,0.75,morph_inference,1,G4830,A-NPM
συμπαθῆσαι,,,Pred,0.85,morph_inference,1,G4834,V-AAN
συμπαραγενόμενοι,,,Pred,0.85,morph_inference,1,G4836,V-2ADP-NPM
συμπαρακληθῆναι,,,Pred,0.85,morph_inference,1,G4837,V-APN
συμπαραλαβόντες,,,Pred,0.85,morph_inference,1,G4838,V-2AAP-NPM
συμπαραλαβὼν,,,Pred,0.85,morph_inference,1,G4838,V-2AAP-NSM
συζητούντων,,,,0.9,strong_phrase_map,1,G4802,V-PAP-GPM
συζητοῦντας,,,,0.9,strong_phrase_map,1,G4802,V-PAP-APM
συζήτησιν,,NP,,0.85,morph_inference,1,G4803,N-ASF
συζῆν,,,Pred,0.85,morph_inference,1,G4800,V-PAN
συκομωραίαν,,NP,,0.85,morph_inference,1,G4809,N-ASF
συλλαλήσας,,,Pred,0.85,morph_inference,1,G4814,V-AAP-NSM
συλλαμβάνου,,,Pred,0.85,morph_inference,1,G4815,V-PMM-2S
συλληφθέντα,,,Pred,0.85,morph_inference,1,G4815,V-APP-ASM
συλληφθῆναι,,,Pred,0.85,morph_inference,1,G4815,V-APN
συμπορεύονται,,,Pred,0.85,morph_inference,1,G4848,V-PDI-3P
συμπρεσβύτερος,,NP,,0.85,morph_inference,1,G4850,N-NSM
συμπάσχει,,,Pred,0.85,morph_inference,1,G4841,V-PAI-3S
συμπάσχομεν,,,Pred,0.85,morph_inference,1,G4841,V-PAI-1P
συμφυεῖσαι,,,Pred,0.85,morph_inference,1,G4855,V-2APP-NPF
συμφωνει,,,Pred,0.85,morph_inference,1,G4856,V-PAI-3S
συνακολουθήσασαι,,,Pred,0.85,morph_inference,1,G4870,V-AAP-NPF
συναναμίγνυσθε,,,Pred,0.85,morph_inference,1,G4874,V-PMM-2P
συναξεῖ,,,Pred,0.85,morph_inference,1,G4863,V-FAI-3S
συναχθήσεται,,,Pred,0.85,morph_inference,1,G4863,V-FPI-3S
συμβιβασθέντων,,,Pred,0.85,morph_inference,1,G4822,V-APP-GPM
συμβάλλουσα,,,Pred,0.85,morph_inference,1,G4820,V-PAP-NSF
συμμαθηταῖς,,NP,,0.85,morph_inference,1,G4827,N-DPM
συμμαρτυρεῖ,,,Pred,0.85,morph_inference,1,G4828,V-PAI-3S
συμμερίζονται,,,Pred,0.85,morph_inference,1,G4829,V-PDI-3P
συμμορφούμενος,,,Pred,0.85,morph_inference,1,G4833,V-PPP-NSM
συνιοῦσιν,,,Pred,0.85,morph_inference,1,G4920,V-PAI-3P
συνιέντες,,,Pred,0.85,morph_inference,1,G4920,V-PAP-NPM
συνιών,,,Pred,0.85,morph_inference,1,G4920,V-PAP-NSM
συντετμημένον,,,Pred,0.85,morph_inference,1,G4932,V-RPP-ASM
συντετριμμένους,,,Pred,0.85,morph_inference,1,G4937,V-RPP-APM
συνάγεσθε,,,Pred,0.85,morph_inference,1,G4863,V-PPM-2P
συνάντησιν,,NP,,0.85,morph_inference,1,G4877,N-ASF
συνέβαινον,,,Pred,0.85,morph_inference,1,G4819,V-IAI-3P
συνέβαλεν,,,Pred,0.85,morph_inference,1,G4820,V-2AAI-3S
συνέβαλον,,,Pred,0.85,morph_inference,1,G4820,V-2AAI-3P
συμπαραμενῶ,,,Pred,0.85,morph_inference,1,G4839,V-FAI-1S
συμπαρεγένετο,,,Pred,0.85,morph_inference,1,G4836,V-2ADI-3S
συμπαρόντες,,,Pred,0.85,morph_inference,1,G4840,V-PP-NPM
συμπνίγονται,,,Pred,0.85,morph_inference,1,G4846,V-PPI-3P
συμπνίγουσιν,,,Pred,0.85,morph_inference,1,G4846,V-PAI-3P
συμπολῖται,,NP,,0.85,morph_inference,1,G4847,N-NPM
συσταυρωθέντος,,,Pred,0.85,morph_inference,1,G4957,V-APP-GSM
συστενάζει,,,Pred,0.85,morph_inference,1,G4959,V-PAI-3S
συστοιχεῖ,,,Pred,0.85,morph_inference,1,G4960,V-PAI-3S
συστρατιώτην,,NP,,0.85,morph_inference,1,G4961,N-ASM
συσχηματίζεσθε,,,Pred,0.85,morph_inference,1,G4964,V-PM-2P
σφραγὶς,,NP,,0.85,morph_inference,1,G4973,N-NSF
σφραγίζωμεν,,,Pred,0.85,morph_inference,1,G4972,V-PAS-1P
σφραγίσεται,,,Pred,0.85,morph_inference,1,G4972,V-FDI-3S
σφάξωσιν,,,Pred,0.85,morph_inference,1,G4969,V-AAS-3P
σφῦρα,,NP,,0.85,morph_inference,1,G4974,N-NPN
σχολάζητε,,,Pred,0.85,morph_inference,1,G4980,V-PAS-2P
συνεζωποίησεν,,,Pred,0.85,morph_inference,1,G4806,V-AAI-3S
συνειδυίας,,,Pred,0.85,morph_inference,1,G4894,V-RAP-GSF
συνετέλεσεν,,,Pred,0.85,morph_inference,1,G4931,V-AAI-3S
συνείληφυῖα,,,Pred,0.85,morph_inference,1,G4815,V-RAP-NSF
συνηθροισμένους,,,Pred,0.85,morph_inference,1,G4867,V-RPP-APM
σύγκαμψον,,,Pred,0.85,morph_inference,1,G4781,V-AAM-2S
σύζυγε,,AdjP,,0.75,morph_inference,1,G4805,A-VSM
σύμφερον,,,Pred,0.85,morph_inference,1,G4851,V-PAP-ASN
σύμφημι,,,Pred,0.85,morph_inference,1,G4852,V-PI-1S
σύμψυχοι,,AdjP,,0.75,morph_inference,1,G4861,A-NPM
σύσσωμα,,AdjP,,0.75,morph_inference,1,G4954,A-APN
σῖτά,,NP,,0.85,morph_inference,1,G4621,N-APM
σῴζεται,,,Pred,0.85,morph_inference,1,G4982,V-PPI-3S
ταμιεῖόν,,NP,,0.85,morph_inference,1,G5009,N-NSN
ταραχαί,,NP,,0.85,morph_inference,1,G5016,N-NPF
ταὐτὰ,,NP,,0.8,morph_inference,1,G5023,D-PRO-APN
συνέχυνεν,,,Pred,0.85,morph_inference,1,G4797,V-IAI-3S
συνήλασεν,,,Pred,0.85,morph_inference,1,G4900,V-AAI-3S
συνίστων,,,Pred,0.85,morph_inference,1,G4921,V-PAP-NSM
συστασιαστῶν,,NP,,0.85,morph_inference,1,G4955,N-GPM
συσταυρωθέντες,,,Pred,0.85,morph_inference,1,G4957,V-APP-NPM
απέθανεν,,,Pred,0.9,strong_phrase_map,1,G599,V-2AAI-3S
απέκρυψας,,,Pred,0.85,morph_inference,1,G613,V-AAI-2S
αρχῆς,,NP,,0.85,morph_inference,1,G746,N-GSF
αυτῶν,,NP,,0.9,strong_phrase_map,1,G846,P-GPM
αφεθησεται,,,Pred,0.85,morph_inference,1,G863,V-FPI-3S
αἰτιάματα,,NP,,0.85,morph_inference,1,G157,N-APN
αἰτήσομαι,,,Pred,0.85,morph_inference,1,G154,V-FMI-1S
αἰχμαλωτεύοντες,,,Pred,0.85,morph_inference,1,G162,V-PAP-NPM
τετηρήκασιν,,,Pred,0.85,morph_inference,1,G5083,V-RAI-3P
τετηρήκεν,,,Pred,0.85,morph_inference,1,G5083,V-RAI-3S
τετράμηνόν,,AdjP,,0.75,morph_inference,1,G5072,A-NSN
τετράρχου,,NP,,0.85,morph_inference,1,G5076,N-GSM
σχίζει,,,Pred,0.85,morph_inference,1,G4977,V-PAI-3S
σωζομένων,,,Pred,0.85,morph_inference,1,G4982,V-PPP-GPM
σάρδιος,,NP,,0.85,morph_inference,1,G4556,N-NSM
σάρκικός,,AdjP,,0.75,morph_inference,1,G4559,A-NSM
τυρβάζῃ,,,Pred,0.85,morph_inference,1,G5182,V-PPI-2S
ταὐτῆς,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-GSF
ταύτη,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-DSF
τεθνηκώς,,,Pred,0.85,morph_inference,1,G2348,V-RAP-NSM
τεθνάναι,,,Pred,0.85,morph_inference,1,G2348,V-2RAN
τελειοῦται,,,Pred,0.85,morph_inference,1,G5048,V-PPI-3S
τεσσαρακονταετὴς,,AdjP,,0.75,morph_inference,1,G5063,A-NSM
τεσσαρακονταετῆ,,AdjP,,0.75,morph_inference,1,G5063,A-ASM
τετηρημένους,,,Pred,0.85,morph_inference,1,G5083,V-RPP-APM
αὔτοις,,NP,,0.9,strong_phrase_map,1,G846,P-DPN
αὖτοῖς,,NP,,0.9,strong_phrase_map,1,G846,P-DPM
αὖτὸν,,NP,,0.9,strong_phrase_map,1,G846,P-ASM
αὖτῷ,,NP,,0.9,strong_phrase_map,1,G846,P-DSM
αὗτος,,NP,,0.9,strong_phrase_map,1,G846,P-NSM
αλλα,,,,0.9,strong_phrase_map,1,G235,CONJ
αναβλέψαι,,,Pred,0.85,morph_inference,1,G308,V-AAN
τῳ,,NP,,0.9,strong_phrase_map,1,G3588,T-DSM
τῶ,,NP,,0.9,strong_phrase_map,1,G3588,T-DSM
υιῷ,,NP,,0.85,morph_inference,1,G5207,N-DSM
τιμιώτερον,,AdjP,,0.75,morph_inference,1,G5093,A-NSN
τιμήσῃ,,,Pred,0.85,morph_inference,1,G5091,V-AAS-3S
τολμηρότερον,,AdvP,Cmpl,0.85,morph_inference,1,G5112,ADV
